time,headline,sector,stock,article link
2025-10-21T18:38:09+11:00,Rex Airlines rescued by US outfit Air T,Industrials,REX,https://www.smh.com.au/business/companies/rex-airlines-rescued-by-us-outfit-air-t-20251021-p5n41q.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T15:45:07+11:00,Trump’s critical minerals deal unearths a bonanza for Aussie miners,Materials,UNMAPPED,https://www.smh.com.au/business/companies/trump-s-critical-minerals-deal-unearths-a-bonanza-for-aussie-miners-20251021-p5n41a.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T15:35:10+11:00,Larvotto opens up new front with rich gold-antimony hits in NSW,Materials,LRV,https://www.smh.com.au/business/companies/larvotto-opens-up-new-front-with-rich-gold-antimony-hits-in-nsw-20251021-p5n47m.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T15:31:29+11:00,Rex Airlines rescue more a relief than cause for celebration,Industrials,REX,https://www.smh.com.au/business/companies/rex-airlines-rescue-more-a-relief-than-cause-for-celebration-20251021-p5n43v.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T15:08:51+11:00,Pilot scores key approval for seismic survey offshore in Perth Basin,Energy,PGY,https://www.smh.com.au/business/companies/pilot-scores-key-approval-for-seismic-survey-offshore-in-perth-basin-20251021-p5n475.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T12:43:39+11:00,ASX powers into record territory on rare earths fever,Materials,UNMAPPED,https://www.smh.com.au/business/markets/asx-to-open-higher-after-wall-street-rally-rare-earths-stocks-in-focus-20251021-p5n3y2.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T12:01:34+11:00,Trump brought knives, but China brought a bazooka,Materials,UNMAPPED,https://www.smh.com.au/business/markets/trump-brought-knives-but-china-brought-a-bazooka-20251021-p5n3zs.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T09:46:50+11:00,"Larvotto Resources – from $3m acquisition to $720m takeover target in 2 years",Materials,LRV,https://www.smh.com.au/business/companies/larvotto-resources-from-3m-acquisition-to-720m-takeover-target-in-2-years-20251021-p5n40x.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T05:38:21+11:00,The glass half-full economy has rarely looked so good,Unknown,UNMAPPED,https://www.smh.com.au/business/the-economy/the-glass-half-full-economy-has-rarely-looked-so-good-20251020-p5n3pt.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-21T00:01:00+11:00,"Battle Loyale: Why Myer and David Jones’ old rivalry has a new edge",Consumer Discretionary,UNMAPPED,https://www.smh.com.au/business/companies/battle-loyale-why-myer-and-david-jones-old-rivalry-has-a-new-edge-20251020-p5n3qi.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T18:05:00+11:00,"Your phone can suddenly become a fire risk. Here’s what to do.",Consumer Discretionary,UNMAPPED,https://www.smh.com.au/business/consumer-affairs/your-phone-can-suddenly-become-a-fire-risk-heres-what-to-do-20251015-p5n2l0.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T17:55:04+11:00,ABC’s John Lyons to miss Trump, Albanese Oval Office meeting,Communication Services,UNMAPPED,https://www.smh.com.au/business/companies/abc-s-john-lyons-to-miss-trump-albanese-oval-office-meeting-20251020-p5n3vj.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T17:46:15+11:00,Kaiser supercharges Tassie gold plant past nameplate capacity,Materials,KAU,https://www.smh.com.au/business/companies/kaiser-supercharges-tassie-gold-plant-past-nameplate-capacity-20251020-p5n3wo.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T17:30:13+11:00,Great Southern lands $337k grant to drive WA gold and platinum hunt,Materials,GSN,https://www.smh.com.au/business/companies/great-southern-lands-337k-grant-to-drive-wa-gold-and-platinum-hunt-20251020-p5n3wm.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T17:28:42+11:00,Raiz funds under management soars to $2bn with new product launch,Financials,RZI,https://www.smh.com.au/business/companies/raiz-funds-under-management-soars-to-2bn-with-new-product-launch-20251020-p5n3wj.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T17:18:31+11:00,Advance adds local firepower to Mexican silver push,Materials,AVM,https://www.smh.com.au/business/companies/advance-adds-local-firepower-to-mexican-silver-push-20251020-p5n3wd.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T16:51:50+11:00,True North Copper appoints new MD for Queensland growth push,Materials,UNMAPPED,https://www.smh.com.au/business/companies/true-north-copper-appoints-new-md-for-queensland-growth-push-20251020-p5n3w6.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T15:05:25+11:00,Rex Airlines to secure US buyer,Industrials,REX,https://www.smh.com.au/business/companies/rex-airlines-to-be-bought-by-us-firm-air-t-20251020-p5n3tf.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T14:56:49+11:00,Gold FOMO in full swing: Why people are lining up to buy bullion,Materials,UNMAPPED,https://www.smh.com.au/business/markets/gold-fomo-in-full-swing-why-people-are-lining-up-to-buy-bullion-20251020-p5n3sa.html?ref=rss&utm_medium=rss&utm_source=rss_business
2025-10-20T14:47:08+11:00,Tabcorp investors back ‘outlandish’ payout for ex AFL boss,Consumer Discretionary,TAH,https://www.smh.com.au/business/companies/tabcorp-investors-back-outlandish-payout-for-ex-afl-boss-20251020-p5n3qh.html?ref=rss&utm_medium=rss&utm_source=rss_business
